system:index,NDVI,date,.geo
20231120T044101_20231120T045134_T45RYH,0.5663445827131771,2023-11-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231125T044119_20231125T044434_T45RYH,0.4590537352980281,2023-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231130T044131_20231130T044552_T45RYH,0.41770404067743394,2023-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231215T044209_20231215T044822_T45RYH,0.2721731557186348,2023-12-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231225T044219_20231225T044832_T45RYH,0.41841430727475937,2023-12-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231230T044211_20231230T044208_T45RYH,0.37895903226635924,2023-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231230T044211_20231230T045134_T45RYH,0.38682869509215856,2023-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240104T044209_20240104T044801_T45RYH,0.431005175771866,2024-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240129T044031_20240129T044214_T45RYH,0.38872828683705063,2024-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240203T044009_20240203T044226_T45RYH,0.38844697401646194,2024-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240218T043841_20240218T044557_T45RYH,0.3788516421090148,2024-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240223T043809_20240223T044642_T45RYH,0.3993921438735762,2024-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240228T043731_20240228T044313_T45RYH,0.3933460795544401,2024-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240309T043701_20240309T044711_T45RYH,0.5109638322951046,2024-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240314T043659_20240314T044328_T45RYH,0.5345659818849954,2024-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240413T043659_20240413T044812_T45RYH,0.7348042549236637,2024-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240428T043701_20240428T044351_T45RYH,0.6993772638507328,2024-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240503T043659_20240503T044949_T45RYH,0.6740332550218029,2024-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240920T043659_20240920T044849_T45RYH,0.8233190716015929,2024-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241109T043919_20241109T044422_T45RYH,0.6830780569756292,2024-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241114T044041_20241114T044717_T45RYH,0.4339262886590538,2024-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241119T044009_20241119T044928_T45RYH,0.5399176033850893,2024-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241124T044121_20241124T044419_T45RYH,0.2804885809881251,2024-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241204T044151_20241204T044603_T45RYH,0.1963640352090153,2024-12-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241214T044211_20241214T044705_T45RYH,0.2655945236009855,2024-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241214T044241_20241214T044554_T45RYH,0.2647534825763412,2024-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241224T044211_20241224T044213_T45RYH,0.342170378118189,2024-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241224T044211_20241224T045139_T45RYH,,2024-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241229T044119_20241229T044803_T45RYH,0.37213627409070166,2024-12-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T044029_20250118T044557_T45RYH,0.40316580706454014,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250128T043949_20250128T045121_T45RYH,0.3146253020667753,2025-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T043849_20250207T044842_T45RYH,0.450575656873539,2025-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T043941_20250212T044049_T45RYH,0.3968117897775946,2025-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T043709_20250227T044409_T45RYH,0.35834627985856954,2025-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T043731_20250304T044753_T45RYH,0.38484780963104004,2025-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T043709_20250309T044336_T45RYH,0.41622711725283623,2025-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250316T044231_20250316T044231_T45RYH,0.5236044891078576,2025-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T043709_20250319T044836_T45RYH,0.5761904334586647,2025-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T043721_20250324T044302_T45RYH,0.6106384206458397,2025-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250329T043659_20250329T044853_T45RYH,0.6557985528231696,2025-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250405T044231_20250405T044846_T45RYH,0.688865257489941,2025-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250413T043721_20250413T044558_T45RYH,0.7417884739019595,2025-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250503T043721_20250503T044529_T45RYH,0.5901261894534895,2025-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250508T043659_20250508T044730_T45RYH,0.6413752141996337,2025-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251015T043659_20251015T044257_T45RYH,0.736960172507206,2025-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251020T043831_20251020T044736_T45RYH,0.8281177871301452,2025-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251022T044231_20251022T045146_T45RYH,0.830655282868228,2025-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251109T044101_20251109T044417_T45RYH,0.6023254951972704,2025-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251111T044231_20251111T044233_T45RYH,0.7158146900110791,2025-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251114T043939_20251114T044505_T45RYH,0.6935872128841806,2025-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251119T044111_20251119T044427_T45RYH,0.6296339220308395,2025-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251124T044019_20251124T045007_T45RYH,0.4390411220952953,2025-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251129T044151_20251129T044235_T45RYH,0.4589045946361297,2025-11-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251214T044109_20251214T044608_T45RYH,0.35592557817009846,2025-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20251219T044221_20251219T044538_T45RYH,0.3146739443313922,2025-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
